like1,parmu,parsigma,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95,simulation_96,simulation_97,simulation_98,simulation_99,chain
-395.40182,53.627846,8.213607,44.12019,56.007786,60.041473,58.09583,45.731426,62.42469,59.389324,59.41822,59.747498,62.69852,72.050735,48.60528,54.015617,68.03644,42.638206,56.301987,47.967705,53.46504,57.527283,37.766537,45.47602,42.08386,51.729717,47.969925,66.07233,48.67363,67.70338,50.291073,55.857098,53.95508,53.72245,44.369648,56.377045,56.78098,55.581333,58.731876,46.898884,51.183647,48.19403,39.63046,56.646645,48.40819,52.98948,72.10655,55.519524,54.510117,62.448814,63.864906,68.518234,49.34458,68.378944,52.548923,44.114628,45.9983,62.727264,59.89106,64.161995,46.056343,50.836945,43.790268,37.40116,53.47948,66.62748,62.762093,47.24435,63.216984,48.890415,56.19141,60.42041,50.280098,46.361782,58.96351,52.172367,49.095284,58.837704,51.86216,56.772552,45.696712,59.57472,45.852306,50.46025,38.25494,63.147247,54.3969,57.428856,39.643837,54.888985,50.38857,63.45978,40.72835,56.526093,62.297943,43.8346,54.524147,44.72147,53.982555,56.36417,64.444756,55.00906,47.96347,0.0
-405.29617,47.684494,16.94911,28.065058,52.595596,60.919273,56.90436,31.389914,65.837135,59.573544,59.633163,60.31264,66.4022,85.70088,37.32023,48.48468,77.417206,25.006926,53.20269,36.004562,47.34853,55.731136,14.954043,30.86287,23.863008,43.76763,36.009148,73.36419,37.461273,76.72992,40.79893,52.28464,48.35975,47.87972,28.579828,53.35758,54.191113,51.71559,58.21687,33.79901,42.64079,36.471596,18.800323,53.913906,36.913525,46.3672,85.816055,51.58805,49.505096,65.88692,68.80908,78.41141,38.845802,78.12399,45.458096,28.05358,31.940613,66.46151,60.608894,69.42213,32.06039,41.925354,27.384254,14.200073,47.378334,74.50976,66.53338,34.511894,67.47207,37.908615,52.97451,61.70122,40.77628,32.690678,58.694847,44.681057,38.331367,58.435246,44.04093,54.17373,31.318283,59.95611,31.639357,41.148033,15.961878,67.32816,49.27147,55.528034,18.827927,50.28691,41.00011,67.97309,21.065863,53.665146,65.575584,27.475729,49.534046,29.305826,48.41645,53.331005,70.00562,50.534683,35.99583,1.0
-375.96396,56.733547,14.082218,40.43268,60.81395,67.729706,64.3939,43.195145,71.81573,66.611595,66.66113,67.22568,72.2852,88.31957,48.122364,57.398384,81.437065,37.89182,61.318356,47.02924,56.45441,63.419125,29.539352,42.757248,36.941395,53.479206,47.03305,78.069595,48.23955,80.86603,51.012657,60.555595,57.294582,56.89575,40.86038,61.44705,62.13959,60.082798,65.4844,45.19675,52.54297,47.417274,32.735046,61.90927,47.784454,55.63907,88.41527,59.97683,58.2462,71.857086,74.28497,82.2631,49.389893,82.02429,54.883736,40.42314,43.652695,72.33449,67.471825,74.79433,43.752213,51.948547,39.86703,28.912916,56.47917,79.0214,72.394196,45.78905,73.17411,48.61123,61.128773,68.37939,50.993835,44.275887,65.88153,54.238132,48.96247,65.66584,53.70628,62.125145,43.13563,66.92946,43.402397,51.302708,30.376717,73.05455,58.05209,63.250378,32.75798,58.89577,51.179806,73.590385,34.617374,61.70259,71.59841,39.943035,58.270252,41.463577,57.341694,61.42497,75.27912,59.101635,47.021984,2.0
-341.20953,50.67582,11.079224,37.85107,53.88609,59.327076,56.702625,40.02445,62.541767,58.447407,58.486378,58.930534,62.91113,75.526215,43.90095,51.198883,70.11138,35.852043,54.282932,43.04093,50.45621,55.93572,29.280716,39.67993,35.104294,48.115463,43.04393,67.46201,43.99315,69.66212,46.174896,53.682827,51.117218,50.803436,38.187565,54.384182,54.929043,53.310852,57.56058,41.599216,47.378876,43.34622,31.794937,54.747837,43.635098,49.81474,75.6015,53.22748,51.865906,62.574306,64.48445,70.76126,44.898182,70.57339,49.220478,37.843567,40.384426,62.949905,59.124187,64.88519,40.462723,46.911213,37.406044,28.787865,50.475693,68.210846,62.996883,42.065212,63.61048,44.285564,54.133778,59.83822,46.160088,40.874725,57.873024,48.712547,44.56191,57.703327,48.294113,54.917675,39.977623,58.69748,40.187504,46.403095,29.939514,63.516415,51.71319,55.802956,31.81298,52.376957,46.306404,63.93799,33.275864,54.58523,62.370796,37.46584,51.884827,38.662132,51.154285,54.36681,65.2666,52.53892,43.035225,3.0
-424.69113,56.68725,7.567173,47.92787,58.879883,62.596107,60.803593,49.4123,64.791756,61.995285,62.021904,62.325268,65.04404,73.66021,52.059975,57.044506,69.961845,46.562523,59.15093,51.472576,56.537254,60.27979,42.074272,49.176994,46.051807,54.93851,51.474625,68.15232,52.122948,69.655,53.61309,58.74105,56.988728,56.77441,48.1577,59.22008,59.592224,58.48699,61.38958,50.487877,54.435417,51.68109,43.791496,59.46846,51.878395,56.099125,73.71163,58.43005,57.500084,64.81398,66.11862,70.40572,52.74109,70.2774,55.69324,47.92275,49.65817,65.07052,62.457535,66.39233,49.711643,54.116,47.623917,41.73765,56.55056,68.66377,65.10261,50.806152,65.5217,52.32267,59.049053,62.94522,53.602978,49.993046,61.60298,55.346325,52.511414,61.48708,55.060528,59.58446,49.38032,62.16609,49.52367,53.768955,42.524235,65.45745,57.39578,60.18911,43.80382,57.849136,53.70291,65.745384,44.80298,59.3574,64.67499,47.664757,57.51301,48.48183,57.01404,59.208218,66.65284,57.95976,51.468678,0.0
-431.5996,45.66877,16.94911,26.049334,50.579872,58.90355,54.888638,29.37419,63.82141,57.55782,57.617443,58.296917,64.386475,83.68516,35.304504,46.468956,75.40148,22.991201,51.186966,33.98884,45.332806,53.715412,12.938319,28.847145,21.847286,41.751907,33.993423,71.348465,35.44555,74.714195,38.783207,50.268917,46.344025,45.863995,26.564106,51.341858,52.17539,49.69987,56.201145,31.783287,40.625065,34.45587,16.7846,51.898182,34.8978,44.351475,83.80033,49.572327,47.489372,63.871193,66.79336,76.39568,36.83008,76.10827,43.44237,26.037855,29.924889,64.445786,58.59317,67.40641,30.044664,39.909634,25.36853,12.18435,45.36261,72.49403,64.517654,32.49617,65.456345,35.89289,50.958786,59.6855,38.760555,30.674952,56.679127,42.665333,36.315643,56.41952,42.025208,52.158005,29.302559,57.940388,29.623634,39.13231,13.946155,65.31244,47.255745,53.51231,16.812202,48.271187,38.984386,65.95737,19.050138,51.649426,63.559864,25.460007,47.518322,27.290102,46.400726,51.31528,67.9899,48.51896,33.980106,1.0
-341.69434,49.8624,15.182624,32.287758,54.261654,61.71781,58.121346,35.266087,66.12312,60.512337,60.565746,61.174404,66.62929,83.9166,40.57833,50.57919,76.496284,29.548355,54.805473,39.399784,49.56145,57.0704,20.543213,34.793976,28.52366,46.353764,39.403893,72.86568,40.704674,75.88062,43.69447,53.98311,50.467278,50.037277,32.74888,54.94422,55.69088,53.473366,59.29706,37.424103,45.344368,39.818142,23.988623,55.442566,40.214012,48.6824,84.019775,53.35912,51.493256,66.16772,68.785324,77.38686,41.944904,77.1294,47.868042,32.277477,35.75939,66.68242,61.43978,69.33448,35.866684,44.703495,31.677912,19.867825,49.58815,73.89185,66.7468,38.062687,67.587654,41.105392,54.601074,62.418266,43.67418,36.431282,59.725224,47.171993,41.484085,59.49268,46.59858,55.67531,35.201923,60.855034,35.489536,44.00719,21.446009,67.45875,51.283978,56.888466,24.01335,52.193584,43.874683,68.03646,26.01804,55.219734,65.88883,31.759853,51.519184,33.39921,50.51807,54.920418,69.857155,52.415535,39.391964,2.0
-350.38068,50.24197,11.079224,37.417217,53.45224,58.893227,56.268776,39.590595,62.107914,58.013554,58.05253,58.496685,62.47728,75.09236,43.467102,50.765034,69.67753,35.41819,53.849083,42.60708,50.022358,55.501865,28.846865,39.246082,34.67044,47.68161,42.610077,67.02817,43.559296,69.228264,45.741043,53.248978,50.68337,50.369583,37.75371,53.95033,54.49519,52.877003,57.126728,41.165363,46.945023,42.91237,31.361086,54.313988,43.20125,49.380886,75.16765,52.793633,51.432053,62.140453,64.050606,70.327415,44.464333,70.139534,48.78663,37.409718,39.950577,62.516052,58.69034,64.45134,40.02887,46.47736,36.972195,28.354013,50.04184,67.777,62.56303,41.63136,63.17663,43.851715,53.699924,59.40437,45.72624,40.440872,57.439175,48.278698,44.128056,57.269478,47.86026,54.483826,39.543774,58.26363,39.75365,45.969246,29.505663,63.08256,51.27934,55.369102,31.37913,51.943108,45.87255,63.504135,32.842014,54.15138,61.936947,37.03199,51.450977,38.22828,50.720432,53.93296,64.83275,52.105072,42.60137,3.0
-395.40182,53.627846,8.213607,44.12019,56.007786,60.041473,58.09583,45.731426,62.42469,59.389324,59.41822,59.747498,62.69852,72.050735,48.60528,54.015617,68.03644,42.638206,56.301987,47.967705,53.46504,57.527283,37.766537,45.47602,42.08386,51.729717,47.969925,66.07233,48.67363,67.70338,50.291073,55.857098,53.95508,53.72245,44.369648,56.377045,56.78098,55.581333,58.731876,46.898884,51.183647,48.19403,39.63046,56.646645,48.40819,52.98948,72.10655,55.519524,54.510117,62.448814,63.864906,68.518234,49.34458,68.378944,52.548923,44.114628,45.9983,62.727264,59.89106,64.161995,46.056343,50.836945,43.790268,37.40116,53.47948,66.62748,62.762093,47.24435,63.216984,48.890415,56.19141,60.42041,50.280098,46.361782,58.96351,52.172367,49.095284,58.837704,51.86216,56.772552,45.696712,59.57472,45.852306,50.46025,38.25494,63.147247,54.3969,57.428856,39.643837,54.888985,50.38857,63.45978,40.72835,56.526093,62.297943,43.8346,54.524147,44.72147,53.982555,56.36417,64.444756,55.00906,47.96347,0.0
-374.5207,48.725758,11.67774,35.208195,52.10945,57.84437,55.07814,37.49898,61.23272,56.917175,56.958256,57.426407,61.62204,74.91861,41.5849,49.27708,69.21126,33.101177,52.527733,40.67842,48.494286,54.269806,26.17486,37.135857,32.313034,46.027084,40.681583,66.41877,41.68208,68.737724,43.981686,51.89521,49.191,48.860268,35.562866,52.63445,53.208744,51.50314,55.982445,39.15882,45.250706,41.000202,28.824902,53.017754,41.304688,47.81816,74.99796,51.415264,49.980133,61.267017,63.280357,69.89625,42.636005,69.69822,47.191795,35.200287,37.878407,61.662907,57.63052,63.70274,37.960934,44.757782,34.739132,25.655382,48.51482,67.20805,61.712425,39.64999,62.35917,41.99029,52.37052,58.383125,43.96608,38.395195,56.311768,46.65643,42.281563,56.132904,46.21539,53.196766,37.44963,57.18076,37.67085,44.222214,26.869246,62.26002,49.819168,54.129868,28.84392,50.518795,44.120296,62.70437,30.385832,52.84636,61.052517,34.802155,50.00008,36.063072,49.23007,52.616142,64.10476,50.689507,40.672405,1.0
