number,value,datetime_start,datetime_complete,duration,params_mu,params_sigma,state
117,0.11992748357346664,2023-07-11 23:08:42.989530,2023-07-11 23:08:43.520963,0 days 00:00:00.531433,52.496297568240934,13.488408524913025,COMPLETE
223,0.22076270095305575,2023-07-11 23:08:46.942837,2023-07-11 23:08:47.558310,0 days 00:00:00.615473,52.484855576748274,13.48407187823808,COMPLETE
122,0.22146464634085636,2023-07-11 23:08:43.186604,2023-07-11 23:08:43.748221,0 days 00:00:00.561617,52.48625396230316,13.518441801621085,COMPLETE
123,0.23804353664477337,2023-07-11 23:08:43.213479,2023-07-11 23:08:43.706838,0 days 00:00:00.493359,52.52290722265353,13.50579517167971,COMPLETE
228,0.33537486628293117,2023-07-11 23:08:47.079121,2023-07-11 23:08:47.636847,0 days 00:00:00.557726,52.52583521807635,13.52098430816457,COMPLETE
119,0.48588868981128064,2023-07-11 23:08:43.010679,2023-07-11 23:08:43.491288,0 days 00:00:00.480609,52.50196939730089,13.549891919302354,COMPLETE
134,0.5923628254970673,2023-07-11 23:08:43.570650,2023-07-11 23:08:44.166791,0 days 00:00:00.596141,52.556948561707486,13.514621065443809,COMPLETE
118,0.5949537375406397,2023-07-11 23:08:42.993900,2023-07-11 23:08:43.564120,0 days 00:00:00.570220,52.461668536556274,13.454699890131337,COMPLETE
121,0.685721952917137,2023-07-11 23:08:43.077292,2023-07-11 23:08:43.603496,0 days 00:00:00.526204,52.51786030152043,13.567422483936207,COMPLETE
231,0.7205326396668161,2023-07-11 23:08:47.136617,2023-07-11 23:08:47.781314,0 days 00:00:00.644697,52.5720143593683,13.500880026849927,COMPLETE
226,0.7618720998483784,2023-07-11 23:08:47.008189,2023-07-11 23:08:47.722417,0 days 00:00:00.714228,52.57445359260632,13.480059091904057,COMPLETE
127,0.8581616673255247,2023-07-11 23:08:43.359662,2023-07-11 23:08:43.894371,0 days 00:00:00.534709,52.48432909964099,13.413789484894043,COMPLETE
138,0.8768616059303489,2023-07-11 23:08:43.731052,2023-07-11 23:08:44.260312,0 days 00:00:00.529260,52.4547451649857,13.57917264976204,COMPLETE
230,0.9957498698770563,2023-07-11 23:08:47.131149,2023-07-11 23:08:47.780313,0 days 00:00:00.649164,52.599632382631455,13.493854650080037,COMPLETE
129,1.083821029822325,2023-07-11 23:08:43.469092,2023-07-11 23:08:43.920420,0 days 00:00:00.451328,52.4637311432942,13.39633956766551,COMPLETE
125,1.0991999775433583,2023-07-11 23:08:43.308388,2023-07-11 23:08:43.862690,0 days 00:00:00.554302,52.53459633572579,13.605991997394785,COMPLETE
130,1.182276007040264,2023-07-11 23:08:43.474803,2023-07-11 23:08:44.008045,0 days 00:00:00.533242,52.47501297730688,13.382069073204992,COMPLETE
235,1.2753681004260369,2023-07-11 23:08:47.300019,2023-07-11 23:08:47.928548,0 days 00:00:00.628529,52.62745254541334,13.487757462820937,COMPLETE
229,1.3183924002859142,2023-07-11 23:08:47.083257,2023-07-11 23:08:47.720574,0 days 00:00:00.637317,52.62882358250254,13.46542058943108,COMPLETE
227,1.3798150166708083,2023-07-11 23:08:47.058115,2023-07-11 23:08:47.671762,0 days 00:00:00.613647,52.630564562843375,13.44843709973317,COMPLETE
233,1.4061957931892128,2023-07-11 23:08:47.231812,2023-07-11 23:08:47.877253,0 days 00:00:00.645441,52.63833478319214,13.520954940144083,COMPLETE
241,1.4433649076356168,2023-07-11 23:08:47.664190,2023-07-11 23:08:48.336226,0 days 00:00:00.672036,52.634766045921,13.547991010950122,COMPLETE
249,1.5309185269990784,2023-07-11 23:08:47.907906,2023-07-11 23:08:48.575426,0 days 00:00:00.667520,52.65295214496457,13.502941121607627,COMPLETE
