arm_name,metric_name,mean,sem,trial_index,n,frac_nonnull
19_0,euclidean_distance,0.07738000870280674,,19,1250,0.07738000870280674
15_0,euclidean_distance,0.1968672251029132,,15,1250,0.1968672251029132
19_3,euclidean_distance,0.2569308591886992,,19,1250,0.2569308591886992
15_6,euclidean_distance,0.27845621131854326,,15,1250,0.27845621131854326
19_4,euclidean_distance,0.3164749535126273,,19,1250,0.3164749535126273
16_0,euclidean_distance,0.32091036524057526,,16,1250,0.32091036524057526
14_1,euclidean_distance,0.35804922017101193,,14,1250,0.35804922017101193
16_3,euclidean_distance,0.385309108115378,,16,1250,0.385309108115378
16_6,euclidean_distance,0.40902098513754387,,16,1250,0.40902098513754387
10_0,euclidean_distance,0.4250120405818549,,10,1250,0.4250120405818549
16_2,euclidean_distance,0.506811021297871,,16,1250,0.506811021297871
16_4,euclidean_distance,0.6742775257280683,,16,1250,0.6742775257280683
14_5,euclidean_distance,0.7598744074839697,,14,1250,0.7598744074839697
14_3,euclidean_distance,0.8486525792502836,,14,1250,0.8486525792502836
14_6,euclidean_distance,1.03964265793412,,14,1250,1.03964265793412
14_0,euclidean_distance,1.3553822447083488,,14,1250,1.3553822447083488
14_2,euclidean_distance,1.9959615519177982,,14,1250,1.9959615519177982
14_7,euclidean_distance,1.9963466544821347,,14,1250,1.9963466544821347
12_2,euclidean_distance,2.039157376439037,,12,1250,2.039157376439037
12_0,euclidean_distance,2.109077800623686,,12,1250,2.109077800623686
12_1,euclidean_distance,2.2240828650277775,,12,1250,2.2240828650277775
12_3,euclidean_distance,2.4707639087801705,,12,1250,2.4707639087801705
19_6,euclidean_distance,2.8151303250255517,,19,1250,2.8151303250255517
12_4,euclidean_distance,3.0965349199474907,,12,1250,3.0965349199474907
12_5,euclidean_distance,3.1475345489582915,,12,1250,3.1475345489582915
12_6,euclidean_distance,3.156206783884146,,12,1250,3.156206783884146
12_7,euclidean_distance,3.2687591135441134,,12,1250,3.2687591135441134
19_7,euclidean_distance,3.2707827849100584,,19,1250,3.2707827849100584
11_2,euclidean_distance,4.316577683542702,,11,1250,4.316577683542702
19_1,euclidean_distance,4.649316219854744,,19,1250,4.649316219854744
11_3,euclidean_distance,5.1172687954350105,,11,1250,5.1172687954350105
11_0,euclidean_distance,5.566671826291748,,11,1250,5.566671826291748
19_5,euclidean_distance,5.879846943217759,,19,1250,5.879846943217759
11_1,euclidean_distance,6.001152490913246,,11,1250,6.001152490913246
11_4,euclidean_distance,6.130583585767783,,11,1250,6.130583585767783
19_2,euclidean_distance,6.230261160249362,,19,1250,6.230261160249362
11_5,euclidean_distance,6.572403175165334,,11,1250,6.572403175165334
16_5,euclidean_distance,6.993426459885404,,16,1250,6.993426459885404
14_4,euclidean_distance,7.3037239809071695,,14,1250,7.3037239809071695
10_4,euclidean_distance,9.403374256469728,,10,1250,9.403374256469728
11_7,euclidean_distance,9.464748901255357,,11,1250,9.464748901255357
11_6,euclidean_distance,9.6922961048634,,11,1250,9.6922961048634
10_6,euclidean_distance,9.872437401994418,,10,1250,9.872437401994418
10_3,euclidean_distance,10.637547011209428,,10,1250,10.637547011209428
10_5,euclidean_distance,12.30297702082557,,10,1250,12.30297702082557
16_7,euclidean_distance,19.156652819065272,,16,1250,19.156652819065272
18_1,euclidean_distance,20.20581825485874,,18,1250,20.20581825485874
17_7,euclidean_distance,20.710413108805664,,17,1250,20.710413108805664
18_0,euclidean_distance,20.90174425879948,,18,1250,20.90174425879948
18_4,euclidean_distance,22.497049623253726,,18,1250,22.497049623253726
18_5,euclidean_distance,22.784903589841917,,18,1250,22.784903589841917
16_1,euclidean_distance,24.072418258285552,,16,1250,24.072418258285552
17_5,euclidean_distance,25.877204388984797,,17,1250,25.877204388984797
18_3,euclidean_distance,26.922489407760214,,18,1250,26.922489407760214
17_2,euclidean_distance,27.883466706699426,,17,1250,27.883466706699426
17_0,euclidean_distance,32.59471180262881,,17,1250,32.59471180262881
15_4,euclidean_distance,33.316342065474835,,15,1250,33.316342065474835
