like1,parmu,parsigma,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95,simulation_96,simulation_97,simulation_98,simulation_99,chain
7.559158,55.06566,6.0758796,48.032524,56.82618,59.81003,58.370777,49.224415,61.57298,59.327618,59.34899,59.592567,61.77554,68.69369,51.3503,55.35251,65.724174,46.936253,57.043808,50.878662,54.945225,57.950203,43.33252,49.03548,46.526184,53.66155,50.880306,64.271255,51.40086,65.4778,52.597336,56.71471,55.307724,55.135643,48.21706,57.099335,57.398136,56.51072,58.84128,50.08802,53.257603,51.04608,44.711323,57.298763,51.204506,54.593437,68.73498,56.464996,55.718304,61.590824,62.638355,66.080574,51.897182,65.97754,54.267544,48.02841,49.421825,61.796803,59.69877,62.85812,49.464764,53.001137,47.788475,43.062237,54.955906,64.68192,61.822567,50.343575,62.159065,51.561222,56.962013,60.090343,52.58922,49.69071,59.012627,53.988995,51.71277,58.919563,53.75952,57.391903,49.198734,59.46476,49.313835,52.722485,43.693806,62.10748,55.634556,57.877396,44.72122,55.998566,52.669456,62.33867,45.52347,57.20959,61.479218,47.821266,55.72868,48.477314,55.32805,57.08981,63.067287,56.087387,50.87553,0.0
7.431443,58.71034,9.038357,48.247993,61.329258,65.767975,63.62697,50.021023,68.390495,65.05035,65.08214,65.44448,68.691826,78.98312,53.18345,59.13705,74.565735,46.617203,61.653,52.48185,58.531185,63.001328,41.25636,49.739967,46.00719,56.621616,52.484295,72.4044,53.25866,74.199234,55.038517,61.163437,59.07043,58.814445,48.522503,61.735596,62.180088,60.85998,64.32688,51.305706,56.020714,52.7309,43.30744,62.032265,52.966564,58.007874,79.04454,60.79197,59.681202,68.417046,69.975334,75.09591,53.996983,74.94264,57.523083,48.241875,50.31469,68.72346,65.60246,70.302246,50.378563,55.6392,47.884945,40.854294,58.547077,73.0153,68.76178,51.685863,69.26235,53.49721,61.53132,66.18497,55.026436,50.714672,64.58177,57.108715,53.722652,64.44334,56.767357,62.17082,49.982822,65.25436,50.15404,55.224678,41.7938,69.18561,59.556618,62.89302,43.322163,60.098118,55.145798,69.529526,44.51557,61.89961,68.25102,47.933727,59.69664,48.909653,59.100666,61.721424,70.6134,60.230244,52.477192,0.0
5.1021404,47.52564,14.888045,30.291988,51.83954,59.15103,55.624344,33.212532,63.470867,57.968945,58.021317,58.618164,63.967213,80.91911,38.421703,48.228523,73.64277,27.605736,52.372807,37.266026,47.230534,54.59379,18.775314,32.74958,26.600924,44.08508,37.270054,70.0826,38.545593,73.039055,41.477383,51.5664,48.118782,47.697124,30.744164,52.50886,53.241035,51.066547,56.777245,35.328674,43.09527,37.676266,22.153875,52.997536,38.064453,46.368534,81.02029,50.954514,49.12485,63.514595,66.08141,74.51607,39.761765,74.2636,45.56998,30.281908,33.696262,64.01932,58.878395,66.61991,33.801476,42.46683,29.693974,18.11303,47.25671,71.08887,64.08244,35.954872,64.90698,38.938538,52.172375,59.83789,41.457485,34.355118,57.1971,44.887432,39.309883,56.96907,44.325146,53.22576,33.149612,58.30499,33.431644,41.784035,19.660593,64.78058,48.919636,54.415382,22.178122,49.811596,41.6541,65.347084,24.143917,52.77903,63.241123,29.774326,49.15028,31.381876,48.16859,52.48552,67.13245,50.02924,37.258354,0.0
3.3929973,53.327583,16.853437,33.818893,58.210964,66.487656,62.495407,37.12498,71.37776,65.14952,65.20881,65.884445,71.93963,91.12938,43.021824,54.123253,82.89246,30.778025,58.814632,41.71358,52.99352,61.328808,20.781887,36.600914,29.640566,49.43283,41.718143,78.86232,43.16207,82.20905,46.48089,57.901768,53.999027,53.521706,34.33076,58.968647,59.797474,57.33593,63.800507,39.52048,48.31235,42.17798,24.606457,59.52183,42.617413,52.017727,91.243904,57.209106,55.13791,71.42726,74.33293,83.88106,44.538788,83.59526,51.113754,33.80748,37.672573,71.99861,66.17903,74.94252,37.79167,47.600956,33.141933,20.032173,53.02315,80.00143,72.070076,40.22934,73.00346,43.606888,58.587738,67.26519,46.458366,38.418404,64.27579,50.341103,44.027252,64.017654,49.70459,59.78019,37.053757,65.52993,37.373016,46.828022,21.784033,72.860374,54.9056,61.12685,24.633904,55.91531,46.680935,73.501656,26.859207,59.27448,71.11769,33.23289,55.166695,35.052658,54.05541,58.942223,75.52271,56.161686,41.7049,0.0
6.66508,48.57814,19.209116,26.342634,54.144093,63.577656,59.027393,30.110828,69.15127,62.052483,62.120056,62.890133,69.79167,91.66366,36.831898,49.485023,82.27544,22.87673,54.832138,35.340797,48.19738,57.697727,11.483389,29.51351,21.580282,44.139,35.345997,77.681984,36.99175,81.496506,40.774452,53.791676,49.343433,48.799397,26.926046,55.00768,55.952354,53.146748,60.514908,32.841156,42.861904,35.870106,15.842534,55.638187,36.37096,47.085197,91.79419,53.0022,50.641502,69.20769,72.51949,83.40221,38.560894,83.07646,46.05487,26.329626,30.734959,69.858894,63.225887,73.21429,30.870707,42.051075,25.571053,10.628884,48.231155,78.9803,69.940346,33.649097,71.0042,37.498737,54.573532,64.46387,40.74878,31.585037,61.05662,45.174225,37.97786,60.762405,44.448742,55.93265,30.029646,62.48606,30.393534,41.170105,12.625609,70.84111,50.376724,57.467545,15.873818,51.527565,41.002457,71.57204,18.410162,55.35626,68.85484,25.674726,50.674313,27.74885,49.407696,54.977562,73.87558,51.808376,35.330902,0.0
3.082944,51.5632,16.561666,32.39225,56.36204,64.495445,60.57231,35.6411,69.30089,63.180477,63.238735,63.90268,69.853035,88.71056,41.435856,52.345097,80.61625,29.404026,56.955257,40.150265,51.23492,59.425907,19.580944,35.126106,28.286259,47.735874,40.154747,76.655876,41.573677,79.94467,44.835037,56.058197,52.223022,51.753963,32.895256,57.106606,57.921085,55.502155,61.854813,37.99513,46.634792,40.60662,23.339302,57.650215,41.03845,50.27602,88.823105,55.37753,53.342186,69.34953,72.2049,81.58772,42.92656,81.30688,49.3877,32.381035,36.179214,69.910995,64.19216,72.80393,36.296253,45.935715,31.72701,18.84421,51.26404,77.77526,69.98122,38.69172,70.898445,42.01079,56.732292,65.25952,44.812904,36.912132,62.32187,48.62842,42.42388,62.068203,48.00293,57.9041,35.57111,63.5543,35.884846,45.176163,20.56574,70.757835,53.113903,59.227448,23.366274,54.10613,45.03162,71.388016,25.553053,57.407143,69.04532,31.816395,53.370476,33.604656,52.278427,57.08064,73.374084,54.34824,40.14173,0.0
7.7258997,59.910526,15.467222,42.006447,64.39224,71.98817,68.32429,45.040607,76.47606,70.76009,70.81451,71.43458,76.99171,94.60308,50.452427,60.64075,87.04366,39.215694,64.94626,49.25179,59.60394,67.25364,30.04175,44.559643,38.17179,56.33612,49.255974,83.345,50.58114,86.416466,53.62698,64.108475,60.526745,60.088684,42.47621,65.08761,65.84826,63.58918,69.52204,47.239075,55.3078,49.67799,33.551746,65.59529,50.08128,58.708405,94.70818,63.47279,61.571953,76.521484,79.188156,87.95094,51.844616,87.68865,57.878784,41.995975,45.543156,77.04584,71.704926,79.747604,45.652462,54.65492,41.38517,29.353703,59.631134,84.39042,77.11143,47.88963,77.96804,50.98937,64.73803,72.70175,53.606308,46.227642,69.95823,57.169685,51.375156,69.72132,56.585526,65.8324,44.97524,71.109215,45.26824,53.94556,30.96147,77.83672,61.35875,67.0683,33.576935,62.285408,53.81057,78.42526,35.619205,65.368286,76.23737,41.468647,61.59837,43.138737,60.578487,65.063354,80.28008,62.51152,49.24382,0.0
8.021854,52.078396,5.271563,45.9763,53.60586,56.194717,54.945988,47.010406,57.724285,55.776165,55.79471,56.00604,57.900032,63.902367,48.85487,52.32727,61.325954,45.02515,53.79468,48.445667,51.973904,54.58109,41.89847,46.846485,44.669365,50.86016,48.447094,60.065372,48.89874,61.11219,49.93683,53.509148,52.288414,52.139114,46.136406,53.842857,54.102104,53.33216,55.354206,47.75969,50.50969,48.590927,43.094753,54.01589,48.728374,51.668686,63.938187,53.292492,52.644646,57.73977,58.64863,61.635174,49.32936,61.54578,51.385933,45.97273,47.181686,57.91848,56.098183,58.839302,47.21894,50.28717,45.764553,41.66397,51.983173,60.42167,57.940834,47.981415,58.232784,49.037872,53.723713,56.43792,49.929783,47.414974,55.50287,51.144257,49.169357,55.422127,50.945164,54.096695,46.98813,55.89515,47.08799,50.045406,42.211933,58.18803,52.571983,54.517918,43.10334,52.887806,49.999397,58.38862,43.79939,53.93852,57.642937,45.793007,52.65365,46.36221,52.30605,53.83459,59.02078,52.96487,48.44295,0.0
8.495812,59.739697,8.619432,49.762276,62.23723,66.470215,64.428444,51.453125,68.97118,65.78584,65.81617,66.16171,69.258545,79.072845,54.468975,60.14663,74.86021,48.20707,62.545963,53.799892,59.568844,63.831802,43.0947,51.185097,47.62533,57.747784,53.802227,72.79905,54.5407,74.51068,56.23806,62.079094,60.083096,59.838978,50.024063,62.624733,63.048626,61.789703,65.09592,52.678265,57.174732,54.037403,45.050716,62.90765,54.262146,59.06979,79.13142,61.724842,60.66556,68.9965,70.48256,75.36581,55.2448,75.219635,58.607468,49.75644,51.73318,69.28871,66.31237,70.79433,51.794094,56.8109,49.416054,42.71127,59.584,73.38163,69.32526,53.040802,69.80263,54.768196,62.429924,66.867874,56.22654,52.114624,65.33899,58.212307,54.983185,65.20697,57.886772,63.039783,51.416695,65.9804,51.57998,56.415596,43.60723,69.72945,60.54675,63.72851,45.064754,61.06315,56.34037,70.05742,46.20285,62.781147,68.83817,49.462574,60.680283,50.393265,60.11193,62.611217,71.09106,61.189156,53.795452,0.0
4.4982104,53.260746,18.032492,32.38724,58.485767,67.34149,63.069946,35.92462,72.5737,65.90974,65.973175,66.69608,73.17488,93.70713,42.234,54.112083,84.89397,29.133636,59.131664,40.834236,52.90331,61.82173,18.438177,35.36389,27.916601,49.093517,40.83912,80.58188,42.38406,84.16275,45.935062,58.154938,53.979164,53.468452,32.93492,59.296455,60.18327,57.549515,64.46635,38.48771,47.894653,41.331123,22.53031,59.888344,41.8013,51.859253,93.829666,57.41382,55.197723,72.62666,75.73561,85.95172,43.85709,85.64593,50.89204,32.375034,36.51052,73.23798,67.01127,76.38785,36.637955,47.133488,31.662924,17.636015,52.935017,81.800674,73.314445,39.24616,74.31313,42.859997,58.8889,68.17342,45.91096,37.30853,64.974884,50.065334,43.309772,64.698685,49.38429,60.164772,35.848415,66.316765,36.19001,46.30648,19.510433,74.160034,54.94916,61.605644,22.559679,56.02951,46.1491,74.84618,24.940662,59.623684,72.29543,31.760246,55.228523,33.70732,54.03949,59.268185,77.00864,56.29312,40.824947,0.0
